,metric
0,0.09705700725317001
1,0.42367076873779297
2,0.2644852101802826
3,0.20420709252357483
4,-0.18290415406227112
5,-0.9923187494277954
6,0.78731769323349
7,0.24660512804985046
8,-0.4552781879901886
9,0.22109651565551758
10,0.44176822900772095
11,0.11534474790096283
12,0.3528880476951599
13,0.29926666617393494
14,0.2219051569700241
15,0.015145990997552872
16,-0.01567247323691845
17,-0.19448159635066986
18,-0.21244943141937256
19,-0.0030703002121299505
20,-0.15175525844097137
21,0.5110020637512207
22,0.380545437335968
23,0.12631183862686157
24,-0.7520635724067688
25,-0.387928307056427
26,0.5150858759880066
27,-0.4032410681247711
28,-0.3054502308368683
29,-0.24711576104164124
30,-0.1319931298494339
31,0.3072308301925659
32,-0.7019609212875366
33,-0.9767242670059204
34,-0.3577832877635956
35,-0.2490483671426773
36,-0.3451944887638092
37,-0.9965831637382507
38,0.4439576268196106
39,0.04783222824335098
40,-0.8498740196228027
41,0.7726532220840454
42,-0.13490870594978333
43,0.21616984903812408
44,0.11557520925998688
45,-0.5545282959938049
46,0.28033867478370667
47,0.3301485776901245
48,-0.6201369166374207
49,-0.9937902688980103
50,0.28879374265670776
51,0.4382707178592682
52,0.6447181701660156
53,0.5184215307235718
54,0.16001661121845245
55,-0.14915704727172852
56,0.49077051877975464
57,0.5388143062591553
58,0.12266169488430023
59,-0.545034646987915
60,0.11659623682498932
61,0.39672690629959106
62,-0.07597657293081284
63,0.32329460978507996
64,0.170040100812912
65,0.36112919449806213
66,-0.6367872953414917
67,0.02391485683619976
68,0.22805655002593994
69,-0.27293282747268677
70,0.0886756181716919
71,-0.23808488249778748
72,0.021522169932723045
73,0.10788143426179886
74,-0.0815201848745346
75,0.8134549856185913
76,-0.6416186690330505
77,0.6492813229560852
78,0.6822367310523987
79,-0.024586452171206474
80,0.11206445842981339
81,0.24038046598434448
82,0.5444504618644714
83,0.2637980878353119
84,0.5176641345024109
85,0.4396933913230896
86,-0.673608660697937
87,-0.21954789757728577
88,0.026371769607067108
89,0.11461493372917175
90,0.7314035296440125
91,-0.6121659874916077
92,0.40081435441970825
93,0.5639474391937256
94,0.15385016798973083
95,0.3532978892326355
96,0.16013900935649872
97,0.07674245536327362
98,-0.312315434217453
99,-0.8396745920181274
100,-0.9910097122192383
101,0.019570861011743546
102,-0.6069857478141785
103,-0.3586793839931488
104,0.5377249717712402
105,0.8948331475257874
106,0.5785853266716003
107,-0.41134968400001526
108,-0.05032902956008911
109,-0.33639052510261536
110,0.4258330166339874
111,0.2474888414144516
112,0.058152228593826294
113,-0.9285054802894592
114,-0.18356293439865112
115,-0.4084145426750183
116,0.18908700346946716
117,-0.18763801455497742
118,0.0846584215760231
119,0.21894848346710205
120,-0.22719164192676544
121,-0.6888107061386108
122,0.3639083504676819
123,0.24454067647457123
124,0.6307982206344604
125,0.003363633994013071
126,0.6848806738853455
127,-0.06381602585315704
128,-0.33133989572525024
129,0.05776510387659073
130,0.4307315945625305
131,0.6339243054389954
132,0.5381354689598083
133,0.27523407340049744
134,0.38879144191741943
135,0.6008826494216919
136,-0.17470243573188782
137,-0.2723589241504669
138,0.11127734929323196
139,0.4025231599807739
140,-0.03677022457122803
141,0.24211835861206055
142,0.3146306276321411
143,-0.6473497152328491
144,-0.07111454755067825
145,0.38372597098350525
146,0.5593209862709045
147,-0.9700096845626831
148,0.16703936457633972
149,0.3395364582538605
150,-0.1275315284729004
151,0.7719352841377258
152,0.15695902705192566
153,0.5384277105331421
154,-0.3865690231323242
155,0.20795054733753204
156,0.577987015247345
157,-0.06177908554673195
158,-0.7978671789169312
159,0.18450476229190826
160,0.07317373901605606
161,-0.028224747627973557
162,0.15619505941867828
163,0.33206212520599365
164,0.32738450169563293
165,-0.3297535479068756
166,0.5071911215782166
167,0.4501608908176422
168,0.5935572981834412
169,-0.200384721159935
170,0.2325408160686493
171,-0.09326766431331635
172,-0.5516058206558228
173,-0.5121389031410217
174,-0.10266254097223282
175,0.1100253313779831
176,0.26423144340515137
177,0.48431000113487244
178,0.6413965225219727
179,0.23629555106163025
180,0.1589668095111847
181,0.8151918053627014
182,0.6303057670593262
183,0.3580107092857361
184,0.04901809245347977
185,0.38967165350914
186,0.6614916920661926
187,0.2993415296077728
188,-0.7436583638191223
189,-0.18324066698551178
190,0.31274017691612244
191,-0.7130417227745056
192,-0.6883094906806946
193,0.29727479815483093
194,-0.7476711273193359
195,-0.27607980370521545
196,-0.7895544171333313
197,-0.7611925601959229
198,0.9392687082290649
199,-0.01915893889963627
200,0.4134020209312439
201,0.10644066333770752
202,-0.24191369116306305
203,0.24197591841220856
204,0.08529461920261383
205,0.3675301969051361
206,-0.8664059042930603
207,0.13508081436157227
208,0.37295177578926086
209,0.5119572877883911
210,0.47114166617393494
211,0.5932355523109436
212,0.20564518868923187
213,0.36788758635520935
214,0.44711780548095703
215,0.23389644920825958
216,0.5844811201095581
217,0.3271636962890625
218,0.14747865498065948
219,0.14173266291618347
220,0.9545990228652954
221,-0.4629770815372467
222,0.6636695861816406
223,-0.8548266291618347
224,0.27788424491882324
225,0.4013935327529907
226,0.8836262822151184
227,0.05324074998497963
228,0.35849323868751526
229,-0.022954894229769707
230,0.10997578501701355
231,-0.24946124851703644
232,-0.704401433467865
233,0.28991150856018066
234,0.22058847546577454
235,0.5768154859542847
236,0.5477965474128723
237,0.23125046491622925
238,0.3321707248687744
239,0.6614478230476379
240,-0.09884713590145111
241,-0.08414827287197113
242,-0.029663991183042526
243,0.41262754797935486
244,-0.12261584401130676
245,0.14636816084384918
246,0.1560487449169159
247,0.4817565083503723
248,-0.8800539374351501
249,-0.14068807661533356
250,0.29180553555488586
251,0.12231356650590897
252,0.8300257921218872
253,-0.29000043869018555
254,-0.15412764251232147
255,-0.003979445900768042
256,0.4930218756198883
257,0.8884860277175903
258,0.3563770055770874
259,0.38951078057289124
260,0.08114813268184662
261,0.7527069449424744
262,-0.1451399177312851
263,0.35235369205474854
264,0.6139605641365051
265,0.4421725571155548
266,-0.37394100427627563
267,0.2921192944049835
268,-0.9920334219932556
269,-0.5169045329093933
270,0.41714873909950256
271,0.5200448632240295
272,0.5111686587333679
273,0.23947693407535553
274,-0.9089627265930176
275,-0.05412866175174713
276,0.165507972240448
277,-0.7394856810569763
278,0.8635401725769043
279,0.17449498176574707
280,-0.03543891757726669
281,0.7688832879066467
282,-0.39264026284217834
283,0.44669151306152344
284,0.2702157199382782
285,-0.2512378394603729
286,-0.4859097898006439
287,0.6616297364234924
288,-0.31553953886032104
289,0.5759577751159668
290,-0.9431581497192383
291,0.9606543183326721
292,0.48410922288894653
293,0.5571958422660828
294,-0.5422582626342773
295,-0.9481977224349976
296,-0.4237441420555115
297,0.16169151663780212
298,0.16023126244544983
299,0.3698301315307617
300,-0.960109531879425
301,-0.9506115913391113
302,0.2280011922121048
303,0.1907109022140503
304,-0.2393236607313156
305,-0.9646557569503784
306,0.36610934138298035
307,-0.9558271169662476
308,-0.5738090872764587
309,0.21311955153942108
310,0.276721715927124
311,0.051519397646188736
312,0.2096939980983734
313,0.5776979327201843
314,0.12732824683189392
315,-0.5829806923866272
316,0.18302839994430542
317,-0.866391122341156
318,0.5784078240394592
319,0.3616666793823242
320,0.09227822721004486
321,-0.9868142008781433
322,0.33926546573638916
323,0.2185525745153427
324,0.11414951831102371
325,-0.9612893462181091
326,0.10697732865810394
327,-0.6090375781059265
328,-0.38089171051979065
329,0.5155912041664124
330,0.6943564414978027
331,0.37816324830055237
332,0.12311024218797684
333,0.596981406211853
334,0.10836344957351685
335,0.7298666834831238
336,0.47301730513572693
337,-0.011756429448723793
338,0.7948772311210632
339,-0.636200487613678
340,0.14098986983299255
341,0.15963836014270782
342,0.12051098793745041
343,0.7893766760826111
344,-0.5700482726097107
345,-0.6276550889015198
346,0.5903830528259277
347,0.7772002816200256
348,0.6432790756225586
349,0.3276084363460541
350,-0.8907194137573242
351,-0.6137053370475769
352,0.2987602949142456
353,0.12569168210029602
354,0.5424525737762451
355,0.3826385736465454
356,0.10926585644483566
357,-0.2632555663585663
358,0.16907158493995667
359,0.40181222558021545
360,0.5614848136901855
361,0.7762563228607178
362,-0.9999352693557739
363,-0.3680052161216736
364,-0.7979158759117126
365,-0.9334811568260193
366,0.3821127116680145
367,-0.2615158259868622
368,0.03602331131696701
369,0.44174864888191223
370,0.2015760838985443
371,-0.6508253812789917
372,0.3284197747707367
373,0.3182750642299652
374,0.6301435232162476
375,0.34733152389526367
376,0.09637902677059174
377,0.526590883731842
378,-0.20492875576019287
379,-0.5489004850387573
380,0.009131952188909054
381,0.34941622614860535
382,0.13482722640037537
383,0.31185004115104675
384,0.25167715549468994
385,0.8690986037254333
386,-0.8856796026229858
387,0.030176714062690735
388,0.6380001306533813
389,0.6308971643447876
390,-0.2990909218788147
391,-0.5700376629829407
392,-0.09376068413257599
